DATE,DTWEXB
2009-03-17,112.0616
2009-03-18,111.8430
2009-03-19,109.2984
2009-03-20,109.9622
2009-03-23,110.0181
2009-03-24,109.9562
2009-03-25,109.8766
2009-03-26,109.9697
2009-03-27,110.6661
2009-03-30,111.5724
2009-03-31,111.2284
2009-04-01,110.9706
2009-04-02,109.7234
2009-04-03,109.5203
2009-04-06,109.7701
2009-04-07,109.8447
2009-04-08,109.7740
2009-04-09,109.6371
2009-04-10,109.6071
2009-04-13,109.0246
2009-04-14,108.7714
2009-04-15,109.0389
2009-04-16,108.9129
2009-04-17,109.3843
2009-04-20,110.2285
2009-04-21,109.9871
2009-04-22,109.9061
2009-04-23,109.8145
2009-04-24,108.8416
2009-04-27,109.5463
2009-04-28,110.1316
2009-04-29,108.8466
2009-04-30,108.8946
2009-05-01,108.8268
2009-05-04,107.9573
2009-05-05,107.6589
2009-05-06,107.7178
2009-05-07,107.3494
2009-05-08,106.9449
2009-05-11,106.5519
2009-05-12,106.6217
2009-05-13,106.8147
2009-05-14,106.9376
2009-05-15,106.8907
2009-05-18,106.7623
2009-05-19,106.1106
2009-05-20,105.4316
2009-05-21,105.4795
2009-05-22,104.7720
2009-05-25,.
2009-05-26,104.9358
2009-05-27,104.9299
2009-05-28,105.0980
2009-05-29,104.2603
2009-06-01,103.8201
2009-06-02,103.6932
2009-06-03,104.0755
2009-06-04,104.2923
2009-06-05,105.0122
2009-06-08,105.6368
2009-06-09,104.9878
2009-06-10,105.1498
2009-06-11,104.5581
2009-06-12,104.8611
2009-06-15,105.7440
2009-06-16,105.2513
2009-06-17,105.6240
2009-06-18,105.1469
2009-06-19,105.0497
2009-06-22,105.8568
2009-06-23,105.5102
2009-06-24,105.2177
2009-06-25,105.6723
2009-06-26,105.1705
2009-06-29,105.2224
2009-06-30,105.3308
2009-07-01,104.6404
2009-07-02,105.2766
2009-07-03,.
2009-07-06,105.5519
2009-07-07,105.5656
2009-07-08,105.9152
2009-07-09,105.5701
2009-07-10,106.0363
2009-07-13,105.9968
2009-07-14,105.6640
2009-07-15,104.8185
2009-07-16,104.7307
2009-07-17,104.5940
2009-07-20,104.0858
2009-07-21,104.0308
2009-07-22,103.8692
2009-07-23,103.5537
2009-07-24,103.7099
2009-07-27,103.6785
2009-07-28,103.5676
2009-07-29,104.1654
2009-07-30,103.9054
2009-07-31,103.2817
2009-08-03,102.6937
2009-08-04,102.7821
2009-08-05,102.8430
2009-08-06,102.9743
2009-08-07,103.4971
2009-08-10,103.6275
2009-08-11,103.8867
2009-08-12,103.5823
2009-08-13,103.2651
2009-08-14,103.4804
2009-08-17,104.0992
2009-08-18,104.1031
2009-08-19,103.4362
2009-08-20,103.3640
2009-08-21,103.0312
2009-08-24,102.9497
2009-08-25,102.9335
2009-08-26,103.8524
2009-08-27,103.7876
2009-08-28,103.4609
2009-08-31,103.6235
2009-09-01,104.2041
2009-09-02,104.1501
2009-09-03,103.9558
2009-09-04,103.5832
2009-09-07,.
2009-09-08,102.7411
2009-09-09,102.6967
2009-09-10,102.7065
2009-09-11,102.3186
2009-09-14,102.6073
2009-09-15,102.4204
2009-09-16,101.8683
2009-09-17,101.7968
2009-09-18,102.0600
2009-09-21,102.2885
2009-09-22,101.8116
2009-09-23,101.9111
2009-09-24,102.3561
2009-09-25,102.4108
2009-09-28,102.3274
2009-09-29,102.6433
2009-09-30,102.0463
2009-10-01,102.4483
2009-10-02,102.5279
2009-10-05,102.1851
2009-10-06,101.4660
2009-10-07,101.6268
2009-10-08,101.0566
2009-10-09,101.1558
2009-10-12,.
2009-10-13,100.7075
2009-10-14,100.3755
2009-10-15,100.3401
2009-10-16,100.5583
2009-10-19,100.3707
2009-10-20,100.7124
2009-10-21,100.3272
2009-10-22,100.5636
2009-10-23,100.6614
2009-10-26,101.0004
2009-10-27,101.4524
2009-10-28,101.7153
2009-10-29,101.3960
2009-10-30,101.5122
2009-11-02,101.3427
2009-11-03,101.8018
2009-11-04,101.2794
2009-11-05,101.2518
2009-11-06,101.2687
2009-11-09,100.5797
2009-11-10,100.5610
2009-11-11,.
2009-11-12,100.8303
2009-11-13,100.4465
2009-11-16,100.0739
2009-11-17,100.5978
2009-11-18,100.1177
2009-11-19,100.6474
2009-11-20,100.8321
2009-11-23,100.3442
2009-11-24,100.4003
2009-11-25,99.8207
2009-11-26,.
2009-11-27,100.3497
2009-11-30,100.1836
2009-12-01,99.6725
2009-12-02,99.7282
2009-12-03,99.7449
2009-12-04,100.2170
2009-12-07,100.3789
2009-12-08,100.7665
2009-12-09,100.8279
2009-12-10,100.8308
2009-12-11,101.1043
2009-12-14,100.8339
2009-12-15,101.1688
2009-12-16,100.9762
2009-12-17,102.0368
2009-12-18,101.9700
2009-12-21,101.8475
2009-12-22,102.1172
2009-12-23,101.7702
2009-12-24,101.6892
2009-12-25,.
2009-12-28,101.5361
2009-12-29,101.7245
2009-12-30,101.9227
2009-12-31,101.7619
2010-01-01,.
2010-01-04,101.1818
2010-01-05,101.0172
2010-01-06,100.8879
2010-01-07,101.1554
2010-01-08,100.9347
2010-01-11,100.3722
2010-01-12,100.7315
2010-01-13,100.7863
2010-01-14,100.6413
2010-01-15,100.8046
2010-01-18,.
2010-01-19,101.0125
2010-01-20,101.7152
2010-01-21,101.6901
2010-01-22,101.9835
2010-01-25,101.9565
2010-01-26,102.3770
2010-01-27,102.3375
2010-01-28,102.3239
2010-01-29,102.8052
2010-02-01,102.7733
2010-02-02,102.4495
2010-02-03,102.6529
2010-02-04,103.1226
2010-02-05,103.6204
2010-02-08,103.3646
2010-02-09,103.0363
2010-02-10,103.1771
2010-02-11,103.0298
2010-02-12,102.9881
2010-02-15,.
2010-02-16,102.4930
2010-02-17,102.7091
2010-02-18,102.8638
2010-02-19,102.9451
2010-02-22,102.7125
2010-02-23,102.9297
2010-02-24,102.9189
2010-02-25,103.2776
2010-02-26,102.5750
2010-03-01,102.6849
2010-03-02,102.3755
2010-03-03,101.8894
2010-03-04,102.2992
2010-03-05,102.1641
2010-03-08,102.1281
2010-03-09,102.0802
2010-03-10,101.9249
2010-03-11,101.9418
2010-03-12,101.5599
2010-03-15,101.8553
2010-03-16,101.5093
2010-03-17,101.3675
2010-03-18,101.6547
2010-03-19,101.9315
2010-03-22,102.0356
2010-03-23,101.9077
2010-03-24,102.5312
2010-03-25,102.4878
2010-03-26,102.5777
2010-03-29,102.1918
2010-03-30,102.1624
2010-03-31,101.8181
2010-04-01,101.6018
2010-04-02,101.8255
2010-04-05,101.5933
2010-04-06,101.6544
2010-04-07,101.6514
2010-04-08,101.6279
2010-04-09,101.3771
2010-04-12,101.1539
2010-04-13,101.1911
2010-04-14,100.8530
2010-04-15,101.1069
2010-04-16,101.3954
2010-04-19,101.7292
2010-04-20,101.3426
2010-04-21,101.3464
2010-04-22,101.6181
2010-04-23,101.5602
2010-04-26,101.4110
2010-04-27,101.9503
2010-04-28,102.3628
2010-04-29,101.7832
2010-04-30,101.7134
2010-05-03,102.1108
2010-05-04,102.6726
2010-05-05,103.2675
2010-05-06,104.1494
2010-05-07,104.1383
2010-05-10,103.1575
2010-05-11,103.2857
2010-05-12,103.3909
2010-05-13,103.3152
2010-05-14,104.1441
2010-05-17,104.7563
2010-05-18,104.4020
2010-05-19,105.2733
2010-05-20,105.7369
2010-05-21,105.1072
2010-05-24,105.4566
2010-05-25,106.3819
2010-05-26,106.0183
2010-05-27,105.2103
2010-05-28,105.1159
2010-05-31,.
2010-06-01,105.4713
2010-06-02,105.4913
2010-06-03,105.3038
2010-06-04,105.9892
2010-06-07,106.3753
2010-06-08,106.2092
2010-06-09,105.7928
2010-06-10,105.4018
2010-06-11,105.4545
2010-06-14,104.7196
2010-06-15,104.6161
2010-06-16,104.4762
2010-06-17,104.3904
2010-06-18,104.1779
2010-06-21,103.6613
2010-06-22,103.9636
2010-06-23,104.3233
2010-06-24,104.4461
2010-06-25,104.3049
2010-06-28,104.1209
2010-06-29,104.8643
2010-06-30,104.8058
2010-07-01,104.6327
2010-07-02,104.4605
2010-07-05,.
2010-07-06,103.9541
2010-07-07,104.0139
2010-07-08,103.6201
2010-07-09,103.5154
2010-07-12,103.7774
2010-07-13,103.2381
2010-07-14,103.1749
2010-07-15,103.0442
2010-07-16,103.3084
2010-07-19,103.4221
2010-07-20,103.3643
2010-07-21,103.2686
2010-07-22,102.9457
2010-07-23,102.9822
2010-07-26,102.6003
2010-07-27,102.5887
2010-07-28,102.5939
2010-07-29,102.4373
2010-07-30,102.1291
2010-08-02,101.6436
2010-08-03,101.4671
2010-08-04,101.5660
2010-08-05,101.4721
2010-08-06,101.4104
2010-08-09,101.4867
2010-08-10,102.0205
2010-08-11,102.5699
2010-08-12,102.6996
2010-08-13,102.8675
2010-08-16,102.6219
2010-08-17,102.2322
2010-08-18,102.1715
2010-08-19,102.5014
2010-08-20,102.9867
2010-08-23,103.1017
2010-08-24,103.2087
2010-08-25,103.5112
2010-08-26,103.1386
2010-08-27,103.1351
2010-08-30,103.3726
2010-08-31,103.4934
2010-09-01,102.9076
2010-09-02,102.8546
2010-09-03,102.4686
2010-09-06,.
2010-09-07,102.8030
2010-09-08,102.5544
2010-09-09,102.4528
2010-09-10,102.4014
2010-09-13,101.7961
2010-09-14,101.3456
2010-09-15,101.6792
2010-09-16,101.6523
2010-09-17,101.6645
2010-09-20,101.4659
2010-09-21,101.3656
2010-09-22,100.7519
2010-09-23,100.7215
2010-09-24,100.3057
2010-09-27,100.1607
2010-09-28,100.0216
2010-09-29,99.8175
2010-09-30,99.9943
2010-10-01,99.4979
2010-10-04,99.6611
2010-10-05,99.2358
2010-10-06,98.8026
2010-10-07,98.9246
2010-10-08,98.7479
2010-10-11,.
2010-10-12,98.8569
2010-10-13,98.4052
2010-10-14,98.1362
2010-10-15,98.2716
2010-10-18,98.4475
2010-10-19,99.1269
2010-10-20,98.7464
2010-10-21,98.7240
2010-10-22,98.9832
2010-10-25,98.4955
2010-10-26,98.8682
2010-10-27,99.4146
2010-10-28,98.8809
2010-10-29,98.7110
2010-11-01,98.6635
2010-11-02,98.3135
2010-11-03,98.3425
2010-11-04,97.6129
2010-11-05,97.8703
2010-11-08,98.2202
2010-11-09,98.1522
2010-11-10,98.4993
2010-11-11,.
2010-11-12,98.7878
