Date,Open,High,Low,Close,Adj Close,Volume
2013-03-08,64.809998,65.000000,63.709999,64.720001,64.720001,1561800
2013-03-11,64.419998,65.050003,63.930000,64.980003,64.980003,1770300
2013-03-12,64.750000,66.000000,64.510002,64.970001,64.970001,1752900
2013-03-13,65.139999,66.099998,64.349998,65.750000,65.750000,1499400
2013-03-14,65.750000,66.500000,65.660004,66.349998,66.349998,1304200
2013-03-15,66.089996,66.830002,65.650002,66.220001,66.220001,1676500
2013-03-18,65.320000,65.610001,64.320000,64.440002,64.440002,1494900
2013-03-19,64.779999,64.860001,61.430000,62.650002,62.650002,2878400
2013-03-20,63.349998,63.509998,62.790001,63.279999,63.279999,1798100
2013-03-21,62.790001,63.610001,61.630001,61.930000,61.930000,1846000
2013-03-22,62.389999,63.060001,61.779999,62.939999,62.939999,1945000
2013-03-25,63.189999,63.650002,61.959999,62.380001,62.380001,1267600
2013-03-26,62.779999,63.450001,61.880001,62.090000,62.090000,2001100
2013-03-27,61.470001,61.680000,60.759998,60.900002,60.900002,2602500
2013-03-28,60.919998,60.919998,59.500000,60.020000,60.020000,2732400
2013-04-01,60.490002,60.910000,59.820000,60.500000,60.500000,3274500
2013-04-02,61.130001,62.369999,60.610001,61.869999,61.869999,3091400
2013-04-03,61.820000,61.869999,60.680000,60.799999,60.799999,2498600
2013-04-04,60.740002,61.750000,60.070000,61.180000,61.180000,1263200
2013-04-05,60.029999,61.639999,59.709999,61.619999,61.619999,1364600
2013-04-08,61.470001,62.349998,61.150002,62.320000,62.320000,1270200
2013-04-09,62.270000,62.680000,61.480000,62.430000,62.430000,1284000
2013-04-10,62.869999,64.349998,62.709999,64.349998,64.349998,1476800
2013-04-11,64.349998,65.389999,64.059998,65.010002,65.010002,2052500
2013-04-12,64.699997,65.150002,63.970001,64.430000,64.430000,1134700
2013-04-15,63.889999,64.309998,61.299999,61.459999,61.459999,2176500
2013-04-16,61.849998,63.360001,61.820000,63.130001,63.130001,1634200
2013-04-17,62.299999,62.880001,61.099998,61.770000,61.770000,2059900
2013-04-18,61.959999,62.430000,60.250000,60.500000,60.500000,1580000
2013-04-19,60.459999,62.340000,60.160000,61.669998,61.669998,2515500
2013-04-22,61.770000,63.650002,61.380001,63.340000,63.340000,2598000
2013-04-23,63.750000,64.400002,63.259998,64.199997,64.199997,2022200
2013-04-24,64.199997,64.959999,63.459999,64.180000,64.180000,1489200
2013-04-25,64.669998,65.220001,64.400002,64.970001,64.970001,4795700
2013-04-26,61.509998,61.900002,58.080002,58.560001,58.560001,8904800
2013-04-29,58.730000,58.970001,55.750000,56.060001,56.060001,6415000
2013-04-30,55.770000,57.160000,55.570000,55.840000,55.840000,4115000
2013-05-01,55.970001,55.970001,54.650002,55.099998,55.099998,2722900
2013-05-02,55.560001,57.130001,55.340000,56.770000,56.770000,3943800
2013-05-03,57.299999,59.380001,57.110001,59.000000,59.000000,3871200
2013-05-06,58.959999,59.430000,58.139999,58.290001,58.290001,2665300
2013-05-07,58.480000,58.660000,56.950001,57.070000,57.070000,3966700
2013-05-08,57.130001,58.049999,56.849998,57.180000,57.180000,3387200
2013-05-09,57.320000,57.680000,55.500000,55.970001,55.970001,4438300
2013-05-10,56.400002,59.150002,56.259998,58.869999,58.869999,5054700
2013-05-13,58.480000,59.570000,58.209999,59.430000,59.430000,2672400
2013-05-14,59.669998,60.830002,59.599998,60.759998,60.759998,3780700
2013-05-15,60.599998,61.509998,60.290001,60.730000,60.730000,3404100
2013-05-16,60.250000,60.549999,57.849998,57.900002,57.900002,4312400
2013-05-17,58.490002,58.930000,57.360001,58.099998,58.099998,3775600
2013-05-20,58.660000,58.799999,57.169998,58.000000,58.000000,4061000
2013-05-21,57.830002,58.450001,57.599998,58.009998,58.009998,2775400
2013-05-22,58.009998,58.259998,57.250000,57.680000,57.680000,4652900
2013-05-23,57.130001,58.560001,56.910000,58.209999,58.209999,3630600
2013-05-24,57.700001,59.119999,57.680000,59.040001,59.040001,1719900
2013-05-28,59.689999,60.099998,58.860001,58.970001,58.970001,2488600
2013-05-29,58.570000,59.130001,57.430000,57.459999,57.459999,1932000
2013-05-30,57.430000,58.500000,57.360001,57.490002,57.490002,2126600
2013-05-31,57.340000,58.060001,57.250000,57.509998,57.509998,1968700
2013-06-03,57.520000,58.150002,56.970001,57.509998,57.509998,2316600
2013-06-04,57.090000,57.459999,55.740002,56.130001,56.130001,2595600
2013-06-05,56.009998,56.180000,54.779999,54.959999,54.959999,2432700
2013-06-06,55.070000,55.700001,54.389999,55.599998,55.599998,2059000
2013-06-07,55.860001,56.200001,55.369999,55.840000,55.840000,1774600
2013-06-10,55.860001,57.060001,55.860001,56.740002,56.740002,1343500
2013-06-11,56.040001,56.840000,55.720001,55.840000,55.840000,1105100
2013-06-12,56.230000,57.270000,56.230000,56.369999,56.369999,2479000
2013-06-13,56.270000,58.299999,56.110001,58.150002,58.150002,2150000
2013-06-14,58.000000,58.759998,57.490002,58.009998,58.009998,2718300
2013-06-17,58.340000,59.189999,58.080002,59.130001,59.130001,1832200
2013-06-18,59.320000,60.950001,59.259998,60.639999,60.639999,3047200
2013-06-19,61.000000,61.080002,59.810001,60.490002,60.490002,2607600
2013-06-20,59.779999,60.509998,59.490002,59.700001,59.700001,2097800
2013-06-21,59.990002,60.240002,58.529999,58.830002,58.830002,3060400
2013-06-24,58.419998,58.610001,56.060001,56.990002,56.990002,3027600
2013-06-25,57.590000,58.049999,56.730000,57.119999,57.119999,1660800
2013-06-26,57.759998,58.009998,57.400002,57.910000,57.910000,1679100
2013-06-27,58.220001,60.090000,58.220001,59.919998,59.919998,2147600
2013-06-28,59.439999,60.720001,59.029999,60.150002,60.150002,4310100
